x,y,z,eps_e,layer
0.868884,0.618061,0.726517,0.153017,bot
0.867433,0.616378,0.753473,0.133171,bot
0.884305,0.638765,0.645633,0.0992744,bot
0.8858,0.641436,0.672397,0.0514913,bot
0.886458,0.642542,0.7,0.0573957,bot
0.8858,0.641436,0.727603,0.0514912,bot
0.884305,0.638765,0.754367,0.0992752,bot
0.900809,0.657403,0.640331,0.194385,bot
0.90308,0.661259,0.669336,0.192405,bot
0.903744,0.662429,0.7,0.196934,bot
0.90308,0.661259,0.730664,0.192406,bot
0.900809,0.657403,0.759669,0.194385,bot
0.921168,0.678501,0.629934,0.0472376,bot
0.924795,0.683592,0.664312,0.0897946,bot
0.925926,0.685174,0.7,0.0677157,bot
0.924794,0.683592,0.735688,0.0897955,bot
0.921168,0.678501,0.770066,0.0472369,bot
0.945243,0.707023,0.624687,0.02025,top
0.948253,0.71121,0.661424,0.0188849,top
0.94935,0.712647,0.7,0.0492545,top
0.948253,0.71121,0.738576,0.0188855,top
0.945243,0.707024,0.775313,0.0202496,top
0.885228,0.59783,0.646592,0.032483,bot
0.88738,0.599785,0.673411,0.0558305,bot
0.888412,0.601,0.7,0.0342087,bot
0.88738,0.599785,0.726589,0.0558307,bot
0.885228,0.59783,0.753408,0.0324836,bot
0.904371,0.619591,0.645474,0.125514,bot
0.906193,0.622832,0.672519,0.115754,bot
0.906847,0.624339,0.7,0.104772,bot
0.906193,0.622832,0.727481,0.115753,bot
0.904371,0.619591,0.754525,0.125514,bot
0.922855,0.636634,0.64041,0.174818,bot
0.925301,0.640733,0.669432,0.16025,bot
0.925922,0.642285,0.7,0.168672,bot
0.925301,0.640733,0.730568,0.16025,bot
0.922855,0.636634,0.75959,0.174817,bot
0.946864,0.652262,0.629536,0.0324729,bot
0.950579,0.65775,0.664179,0.0728772,bot
0.951602,0.659561,0.7,0.0506147,bot
0.950578,0.65775,0.735821,0.0728762,bot
0.946864,0.652262,0.770464,0.0324738,bot
0.973103,0.681141,0.624572,0.01558,bot
0.975931,0.6858,0.661444,0.0216301,bot
0.976967,0.687641,0.7,0.0411828,bot
0.975931,0.6858,0.738556,0.0216303,bot
0.973103,0.681141,0.775428,0.0155801,bot
